Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
256991489661848,0.00820392,-0.05832847,0.0017324139,9.294575,0.019154198,-2.7582045
256991509661848,2.6267205E-4,0.06995323,-0.003154508,9.256267,-0.102953814,-3.6967604
256991529661848,0.0020952679,-0.01923309,0.0017324139,9.273026,-0.15562786,-4.017593
256991549661848,0.002706133,-0.041835107,0.0011215486,9.174861,-0.047885496,-2.9952378
256991569661848,-3.481932E-4,0.052849006,-7.1104715E-4,9.282603,-0.15562786,-3.7302802
256991589661514,0.0014844026,-0.01678963,0.0011215486,9.246689,-0.12210801,-3.816474
256991609661514,0.0014844026,-0.029617801,5.1068334E-4,9.189227,-0.090982445,-3.1245286
256991629661514,-3.481932E-4,0.041242566,5.1068334E-4,9.289786,-0.15083931,-3.7685885
256991649661514,8.735373E-4,-0.01678963,-1.001819E-4,9.244295,-0.09337672,-3.684789
256991669661514,8.735373E-4,-0.021065688,-1.001819E-4,9.205987,-0.11013664,-3.2202997
256991689661514,-9.5905847E-4,0.03085786,-1.001819E-4,9.261055,-0.14126222,-3.7446458
256991709661514,8.735373E-4,-0.017400498,-1.001819E-4,9.261055,-0.14126222,-3.7446458
256991729661514,8.735373E-4,-0.013735305,-7.1104715E-4,9.237112,-0.11013664,-3.3256476
256991749661514,-3.481932E-4,0.024749205,-0.0013219124,9.25866,-0.117319465,-3.7446458
256991769661514,2.6267205E-4,-0.015567901,-1.001819E-4,9.220352,-0.11253092,-3.5435266
256991789661514,2.6267205E-4,-0.0076266527,-1.001819E-4,9.213169,-0.098165266,-3.4860642
256991809661514,-3.481932E-4,0.018640552,-0.0013219124,9.273026,-0.09337672,-3.74704
256991829661514,2.6267205E-4,-0.01434617,-1.001819E-4,9.270632,-0.10774237,-3.4621215
256991849661814,-3.481932E-4,-0.0027397305,-1.001819E-4,9.265843,-0.06943397,-3.4740927
256991869661814,-3.481932E-4,0.01375363,-1.001819E-4,9.352037,-0.102953814,-3.7949257
256991889661814,2.6267205E-4,-0.010680979,0.0011215486,9.225141,-0.090982445,-3.4142358
256991909661814,-3.481932E-4,0.01008844,5.1068334E-4,9.225141,-0.105348095,-3.5052183
256991929661814,-3.481932E-4,-0.008848383,5.1068334E-4,9.222747,-0.12689656,-3.684789
256991949661480,-3.481932E-4,0.0033689218,5.1068334E-4,9.234718,-0.10774237,-3.469304
256991969661480,-3.481932E-4,0.0076449784,5.1068334E-4,9.225141,-0.11492519,-3.545921
256991989661813,-3.481932E-4,-0.0076266527,5.1068334E-4,9.237112,-0.08619389,-3.641692
256992009661813,-3.481932E-4,0.005812383,-1.001819E-4,9.2419,-0.11971374,-3.469304
256992029661813,-3.481932E-4,0.006423248,-7.1104715E-4,9.251478,-0.105348095,-3.5578923
256992049661813,-9.5905847E-4,-0.005183192,5.1068334E-4,9.203592,-0.12689656,-3.6033835
256992069661813,-9.5905847E-4,0.0070341136,5.1068334E-4,9.244295,-0.11971374,-3.4621215
256992089661479,-9.5905847E-4,0.003979787,5.1068334E-4,9.244295,-0.11253092,-3.5746522
256992109661479,-3.481932E-4,-0.0021288656,5.1068334E-4,9.26345,-0.12929083,-3.5363438
256992129661479,-9.5905847E-4,0.0076449784,5.1068334E-4,9.227535,-0.14126222,-3.4645157
256992149661479,-3.481932E-4,0.0033689218,0.0011215486,9.270632,-0.117319465,-3.562681
256992169661479,-3.481932E-4,-0.0015180002,0.0011215486,9.261055,-0.11971374,-3.5219781
256992189661479,-3.481932E-4,0.005812383,0.0011215486,9.232324,-0.11492519,-3.4812756
256992209661479,-3.481932E-4,9.254609E-4,-1.001819E-4,9.234718,-0.14126222,-3.5746522
