Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2], label
179250665326948,0.0006536258,-0.12328055,-0.025579983,10.24989,-0.5219519,-1.5850099,0
179250685326948,0.012260065,-0.15993246,0.05627596,10.64734,-0.8667275,-1.8938714,0
179250705326948,0.004318817,-0.06585921,0.02695443,9.876384,-0.11253092,-1.376708,0
179250725326948,-0.009120218,0.07586152,-0.051236324,9.3831625,-0.05985687,-0.6296943,0
179250745326948,-0.0048441617,0.14183497,-0.016417004,9.517242,-0.6201172,-0.24421602,0
179250765326948,0.003097087,0.07586152,0.030619621,9.648928,-0.38308397,-0.66321415,0
179250785326948,0.0006536258,-0.061583158,-0.0005345071,9.921875,-0.13647367,-1.3814965,0
179250805326948,0.0006536258,-0.1275566,-0.01030835,10.242707,-0.46209505,-1.6424725,0
179250825326948,0.004318817,-0.057917964,0.023900103,10.10384,-0.6392714,-1.2402344,0
179250845327248,0.0012644911,0.049594317,0.013515393,9.481328,-0.25858167,-0.75180227,0
179250865327248,-0.0054550264,0.09052228,-0.028023444,9.3592205,-0.17717634,-0.46927786,0
179250885327248,-0.0024007002,0.053259507,-0.012140946,9.835681,-0.53392327,-0.7110996,0
179250905327248,0.0049296827,-0.03287249,0.028176159,10.058349,-0.45970076,-1.297697,0
179250925327248,0.003097087,-0.08968296,0.011682797,9.998491,-0.28013015,-1.5299416,0
179250945326948,-0.0005681047,-0.058528833,-0.011530082,9.964972,-0.45730647,-1.2402344,0
179250965326948,0.0006536258,0.025770573,0.0061850105,9.821315,-0.4956149,-0.7350424,0
179250985326948,-0.0005681047,0.07158546,0.0061850105,9.5483675,-0.26097596,-0.6177229,0
179251005326948,-0.0030115657,0.038598742,-0.0139735425,9.75667,-0.31604427,-0.90503585,0
179251025326948,4.2760566e-05,-0.023709513,7.6358156e-05,10.032011,-0.5219519,-1.2785428,0
179251045326948,0.003097087,-0.0591397,0.019013181,10.041589,-0.45730647,-1.3934679,0
179251065326948,0.0012644911,-0.043257203,0.00496328,9.847652,-0.3232271,-1.2474172,0
179251085326948,-0.0017898352,0.011720671,-0.010919216,9.737515,-0.38308397,-0.94095,0
179251105326948,-0.0017898352,0.051426914,-0.0023671028,9.644139,-0.48124924,-0.90024734,0
179251125326948,-0.0005681047,0.034322686,0.004352415,9.627379,-0.35435268,-1.0534809,0
179251145326948,4.2760566e-05,-0.013935669,-0.0041996986,9.749487,-0.4166038,-1.3168511,0
179251165326948,4.2760566e-05,-0.042646337,7.6358156e-05,9.962578,-0.50040346,-1.3527653,0
179251185326948,0.0012644911,-0.026152974,0.010461067,9.830893,-0.4070267,-1.1827718,0
179251205326948,-0.00117897,0.011109806,-0.0017562376,9.632168,-0.339987,-1.036721,0
179251225326948,-0.0017898352,0.023937976,-0.0005345071,9.632168,-0.339987,-1.036721,0
179251245326948,4.2760566e-05,-0.006605286,0.00496328,9.845258,-0.42378664,-1.0415095,0
179251265326948,4.2760566e-05,-0.03226163,-0.0005345071,9.943423,-0.34956414,-1.185166,0
179251285326948,-0.0005681047,-0.01760086,-0.0011453724,9.9889145,-0.36632404,-1.2402344,0
179251305326948,-0.0005681047,0.014164132,0.002519819,9.826104,-0.43096948,-1.0822122,0
179251325326948,-0.0024007002,0.031879224,-0.0017562376,9.732727,-0.38308397,-0.8739103,0
179251345327248,-0.0024007002,0.025159705,-0.005421429,9.730332,-0.31843856,-0.80208206,0
179251365327248,-0.0005681047,-0.0029400946,0.0019089539,9.828498,-0.36632404,-0.9888355,0
179251385327248,0.0006536258,-0.022487782,0.006795876,9.931452,-0.41420954,-1.0750294,0
179251405327248,0.0006536258,-0.01637913,0.002519819,9.859624,-0.3974496,-1.1396748,0
179251425327248,-0.0005681047,0.004390288,-0.0023671028,9.742304,-0.3615355,-1.0534809,0
179251445326948,4.2760566e-05,0.020272786,0.0012980887,9.735122,-0.38547826,-0.97446984,0
179251465326948,0.0006536258,0.015385863,0.0012980887,9.727939,-0.34956414,-0.9217958,0
179251485326948,4.2760566e-05,-0.0059944205,-0.0017562376,9.715967,-0.34477556,-1.0008069,0
179251505326948,0.0006536258,-0.019433456,0.0037415498,9.838076,-0.44054657,-1.132492,0
179251525326948,0.0012644911,-0.013935669,0.007406741,9.828498,-0.4189981,-1.1277034,0
179251545326948,4.2760566e-05,0.0019468275,-0.0035888334,9.828498,-0.4189981,-1.1277034,0
179251565326948,-0.0005681047,0.011109806,-0.0023671028,9.711179,-0.39266106,-0.967287,0
179251585326948,0.0006536258,0.0068337494,0.00496328,9.778218,-0.409421,-0.9960183,0
179251605326948,4.2760566e-05,-0.006605286,7.6358156e-05,9.747093,-0.37350687,-1.0558752,0
179251625326948,4.2760566e-05,-0.012713939,7.6358156e-05,9.754275,-0.42378664,-1.1540405,0
179251645326948,0.0006536258,-0.0072161513,0.0037415498,9.794978,-0.45730647,-1.0917894,0
179251665326948,-0.0005681047,-0.0011074987,0.002519819,9.792584,-0.43575802,-1.1181264,0
179251685326948,-0.00117897,-0.00049663347,-0.0017562376,9.766247,-0.38547826,-1.0654523,0
179251705326948,-0.0005681047,0.0001142318,0.0006872234,9.79019,-0.45012367,-1.1372806,0
179251725326948,4.2760566e-05,-0.0059944205,0.0031306844,9.818921,-0.43575802,-1.185166,0
179251745326948,-0.0005681047,-0.0053835553,0.0006872234,9.775824,-0.39266106,-1.1516461,0
179251765326948,-0.0005681047,0.0031685582,-0.0017562376,9.75667,-0.41420954,-1.0558752,0
179251785326948,-0.0005681047,0.011109806,0.0006872234,9.75667,-0.4285752,-1.0462981,0
179251805326948,-0.0005681047,0.008666346,0.0019089539,9.785401,-0.38068968,-1.0415095,0
179251825326948,-0.0005681047,-0.0023292291,-0.0023671028,9.747093,-0.34716985,-1.0870007,0
179251845327248,-0.00117897,-0.0078270165,-0.0017562376,9.888355,-0.4070267,-1.0558752,0
179251865327248,4.2760566e-05,-0.0041618245,0.0055741454,9.943423,-0.4070267,-1.0319325,0
179251885327248,-0.0005681047,0.0013359623,0.0006872234,9.876384,-0.32562137,-1.0415095,0
179251905327248,-0.00117897,0.005612019,-0.006032294,9.799767,-0.35674694,-1.0032011,0
179251925327248,-0.0005681047,0.009888076,7.6358156e-05,9.668081,-0.36632404,-0.91700727,0
179251945326948,0.0006536258,0.005001154,0.0031306844,10.190034,-0.36871833,-0.70631105,0
179251965326948,0.0018753563,-0.015768265,0.0129045285,9.787795,-0.6057515,-1.6520497,0
179251985326948,-0.0005681047,-0.04570066,-0.0066431593,9.862018,0.06943397,-0.69673395,0
179252005326948,-0.0054550264,0.06058989,-0.030466903,9.3831625,-0.42139238,-0.7972935,0
179252025326948,0.006151413,0.029435765,0.03428481,10.494106,-0.75180227,-0.5243462,0
179252045326948,0.004318817,-0.030429032,0.03306308,9.198804,-0.15562786,-1.6328955,0
179252065326948,-0.00117897,-0.09212642,-0.030466903,10.405519,-0.13647367,-0.845179,0
179252085326948,4.2760566e-05,-0.008437881,0.004352415,10.290593,-1.0870007,-1.7454263,0
179252105326948,0.005540548,-0.009048747,0.044058654,9.8237095,-0.23942748,-1.0151725,0
179252125326948,-0.0109528145,0.08807883,-0.053679783,9.148524,0.083799616,-0.7039168,0
179252145326948,-0.008509353,0.094187476,-0.044516806,9.694419,-0.67279124,-0.49082634,0
179252165326948,0.003707952,0.045929126,0.041615196,9.694419,-0.67279124,-0.49082634,0
179252185326948,0.0012644911,-0.046922393,0.012293663,8.605023,0.53392327,-0.5219519,0
179252205326948,0.004318817,-0.07502219,-0.015195274,10.896344,-0.9529214,-0.81165916,0
179252225326948,0.022644775,-0.15138036,0.12102768,11.538011,-2.1213274,-3.8284454,0
179252245326948,0.004318817,-0.25217313,0.053221636,9.553157,1.0846065,-2.1644244,0
179252265326948,-0.041496076,0.1375589,-0.22533292,7.4821086,0.88109314,0.32562137,0
179252285326948,-0.014618006,0.44360238,-0.06528623,8.913885,-1.4389591,2.2625897,0
179252305326948,0.027531696,0.3067686,0.20899227,9.751882,-1.2569942,0.27055305,0
179252325326948,0.021423044,-0.25889263,0.106977776,10.237919,0.47167215,-3.0886145,0
179252345327248,0.003097087,-0.62602264,-0.065897085,11.135772,-0.2849187,-4.3623686,0
179252365327248,0.009816605,-0.39206126,0.01779145,11.528433,-1.3671309,-2.264984,0
179252385327248,0.012870931,0.14855449,0.09048441,9.866806,-1.0774237,-1.0534809,0
179252405327248,-0.018283198,0.4313851,-0.057955842,8.509253,0.7805336,0.21548474,0
179252425327248,-0.040885214,0.40817222,-0.2186134,8.830086,0.083799616,0.38068968,0
179252445326948,-0.025613578,0.2621754,-0.10682506,10.498895,-1.1612233,-0.51716334,0
179252465326948,0.0018753563,-0.016989997,0.042836927,10.498895,-1.1612233,-0.51716334,0
179252485326948,-0.009731083,-0.101900265,-0.04879286,9.771035,0.45491222,-1.185166,0
179252505326948,-0.010341949,-0.037148546,-0.086055644,10.688043,-1.228263,-1.647261,0
179252525326948,0.003707952,0.0709746,0.042836927,9.378374,-0.6751855,-1.3527653,0
179252545326948,-0.024391849,0.1907042,-0.13614659,9.059936,0.9194015,0.28731298,0
179252565326948,0.0012644911,0.06547681,0.019013181,9.337671,-0.57223165,-0.07422252,0
179252585326948,0.017146988,-0.078687385,0.1136973,10.046377,-0.84278476,-0.41420954,0
179252605326948,0.0073731435,-0.18803225,0.007406741,10.065532,-0.05506832,-1.5371244,0
179252625326948,0.003097087,-0.19475178,-0.01030835,10.099051,-0.11492519,-2.0183737,0
179252645326948,0.007984009,-0.027374703,0.04894558,10.290593,-0.8739103,-1.5131817,0
179252665326948,0.003097087,0.10701565,0.024510967,9.684841,-0.40223816,-0.4956149,0
179252685326948,-0.0072876224,0.102739595,-0.026190847,8.61939,-0.18435916,-0.6656084,0
179252705326948,0.0006536258,-0.027374703,-0.0139735425,10.3193245,-0.102953814,-0.29689008,0
179252725326948,0.0073731435,-0.09212642,0.04466952,9.953,-0.76616794,-1.4293821,0
179252745326948,0.0049296827,-0.10678718,0.017180586,10.453403,-0.28731298,-1.2593886,0
179252765326948,-0.0054550264,0.005612019,-0.0322995,9.450203,-0.13647367,-1.5467016,0
179252785326948,-0.0005681047,0.07708325,0.002519819,9.8787775,-0.48843205,-0.4644893,0
179252805326948,4.2760566e-05,0.08930056,0.015958855,9.428655,-0.5363176,-0.6440599,0
179252825326948,-0.0017898352,-0.009048747,-0.012140946,9.720756,-0.12929083,-0.66800267,0
179252845327248,4.2760566e-05,-0.06585921,-0.00786489,9.842864,-0.37111259,-1.4245936,0
179252865327248,0.004318817,-0.067080945,0.021456642,10.276228,-0.5506832,-1.2450229,0
179252885327248,0.0006536258,0.007444615,0.0031306844,9.730332,-0.38068968,-1.1516461,0
179252905327248,-0.0036224308,0.052037776,-0.02069306,9.644139,-0.19393626,-0.5985687,0
